product,Married,Single,Unknown
BANANAS,1,1,1
FLUID MILK WHITE ONLY,2,3,3
SHREDDED CHEESE,1,1,1
YOGURT NOT MULTI-PACKS,1,2,1
MAINSTREAM WHITE BREAD,1,1,1
SOFT DRINKS 12/18&15PK CAN CAR,1,1,2
SFT DRNK 2 LITER BTL CARB INCL,1,1,1
POTATO CHIPS,1,0,1
CONDENSED SOUP,0,0,0
