sugars_100g,fat_100g
1.3,2.5
0.1,8.0
1.7,15.0
15.8,4.2
25.0,8.0
17.3,10.9
1.5,10.9
7.3,13.2
2.5,0.9
14.0,0.0
0.0,0.0
47.1,27.0
0.5,2.0
0.0,92.0
2.86,0.0
0.15,42.2
1.2,0.5
22.8,0.1
22.8,0.1
10.4,0.0
2.6,1.8
2.3,4.1
22.5,21.8
3.0,5.0
3.1,5.0
26.0,23.0
32.0,48.0
0.2,22.7
91.2,6.0
0.0,71.43
0.0,57.14
0.0,13.3
8.77,2.63
31.0,25.0
53.6,34.7
35.0,0.3
30.53,25.95
38.6,20.0
26.6,9.2
1.0,56.0
19.0,5.4
2.94,2.94
20.0,9.6
16.0,10.0
21.1,13.8
2.6,27.0
0.6,0.3
30.0,25.0
18.2,28.9
88.0,0.0
0.0,28.57
0.0,0.0
7.4,22.2
5.88,1.47
2.56,2.56
21.7,9.5
5.4,20.0
42.0,0.5
6.5,26.25
28.0,19.0
18.0,7.3
25.0,0.0
34.38,0.0
34.0,15.0
0.2,15.09
25.0,11.0
8.67,8.33
10.0,7.5
49.6,28.0
43.6,28.0
56.0,31.2
51.6,21.4
28.57,21.43
28.57,21.43
17.65,17.65
17.65,17.65
16.9,11.27
15.49,15.49
10.0,6.66666666666667
1.6,14.0
6.0,4.6
1.62,7.01
39.0,23.0
4.2,3.8
3.2,8.0
6.0,4.6
3.1,1.2
37.0,24.0
1.0,3.67
2.6,1.8
6.0,4.6
9.7,0.5
57.0,23.0
1.6,2.4
0.0,32.14
34.0,27.0
4.4,6.3
1.0,7.1
50.0,0.0
93.0,0.0
2.26,1.85
14.0,17.0
21.0,24.0
8.2,20.9
3.8,3.0
3.3,5.4
55.36,32.14
55.0,32.5
57.14,33.33
50.0,32.5
50.0,40.0
55.81,32.56
55.81,32.56
28.95,39.47
55.0,32.5
47.5,32.5
55.56,33.33
55.56,33.33
55.26,31.58
50.0,31.58
50.0,31.58
60.0,27.5
55.56,33.33
50.0,33.33
54.29,31.43
55.26,31.58
3.1,2.1
0.0,0.0
0.0,0.0
1.0,44.5
35.7,25.2
9.0,6.0
1.18,0.0
1.18,0.0
1.18,0.0
0.0,0.0
0.0,0.0
2.38,0.0
1.82,0.0
1.18,0.0
2.0,5.3
7.8,7.5
1.8,1.0
27.0,28.0
4.3,6.5
26.8,24.3
1.4,1.3
1.4,1.3
2.45,11.0
1.3,1.2
1.2,6.3
6.0,8.0
55.56,30.56
56.76,32.43
9.3,2.1
37.5,27.5
1.4,1.6
2.4,47.7
4.0,8.2
10.0,7.5
10.42,0.0
13.33,0.0
10.0,0.0
8.33,0.0
0.0,9.1
10.42,0.0
8.33,0.0
10.0,7.5
1.4,2.7
18.0,11.0
64.29,0.0
64.29,0.0
42.5,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
0.0,32.0
57.5,0.0
24.0,0.0
21.0,0.0
75.0,17.5
60.0,0.0
42.86,0.0
75.0,0.0
64.29,0.0
78.57,1.79
82.35,0.0
70.0,0.0
60.0,0.0
80.0,0.0
83.33,0.0
75.0,0.0
75.0,0.0
75.0,0.0
75.0,0.0
32.5,0.0
75.0,0.0
65.0,0.0
73.91,0.0
76.19,0.0
44.71,25.88
40.0,25.88
44.71,25.88
78.57,0.0
78.57,0.0
78.57,0.0
0.0,0.0
37.5,0.0
37.5,0.0
37.5,0.0
37.5,0.0
37.5,0.0
37.5,0.0
45.0,0.0
60.0,0.0
42.5,0.0
100.0,0.0
100.0,0.0
100.0,0.0
93.0,0.0
35.0,4.7
1.8,10.0
3.8,3.0
76.19,0.0
76.19,0.0
76.19,0.0
76.19,0.0
76.19,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
1.8,2.3
0.0,0.0
0.0,0.0
9.0,0.5
27.2,3.2
0.0,10.71
17.86,39.29
3.0,0.0
7.0,0.0
47.0,0.0
72.0,0.0
6.0,0.0
30.0,0.0
20.0,9.6
3.57,39.3
0.0,0.0
44.23,26.92
56.76,32.43
10.0,6.2
37.72,30.28
0.0,0.0
0.0,5.0
1.3,21.4
1.91,0.331
31.0,18.0
0.0,5.0
3.1633334,38.34
0.4,55.0
3.08,0.0
4.6,5.4
25.81,29.03
7.5,11.3
50.0,0.0
1.79,0.89
4.24,6.78
0.0,3.8
1.8,3.3
43.33,0.0
0.6,12.4
0.5,19.5
0.0,99.89
96.0,0.5
1.3,21.4
12.4,4.0
37.4,26.0
34.7,17.9
33.5,29.1
36.5,20.5
20.7,32.1
41.2,15.2
34.4,29.3
31.8,20.8
35.7,13.3
33.4,25.3
42.5,17.8
31.8,20.8
10.6,0.3
7.35,65.53
0.1,34.0
5.7,0.4
2.2,1.9
0.505,6.06
3.0,14.4
1.8,1.2
2.6,7.4
46.0,0.7
2.3,9.6
11.06,1.43
1.1,7.0
42.0,6.1
1.4,6.8
8.9,3.1
3.0,8.2
0.9,1.2
14.7,2.3
0.01,0.01
2.5,22.0
0.1,6.9
28.0,0.0
2.5,1.8
2.5,1.25
1.8,1.6
1.4,2.2
2.5,1.7
3.0,48.0
3.12,50.0
3.12,50.0
2.6,13.1
0.0,0.0
76.19,0.0
76.2,0.0
5.7,0.4
1.6,11.4
0.0,0.5
5.1,5.2
8.2,0.0
5.6,1.2
0.0,2.0
25.0,12.5
3.2,1.6
0.0,0.0
55.5,0.2
12.27,2.52
25.6,23.8
0.0,6.0
3.0,53.0
45.24,35.71
1.5,2.7
1.5,0.6
2.7,1.4
3.5,3.0
14.2,4.1
0.01,9.0
9.6,0.0
0.6,1.6
18.7,28.8
27.83,2.66
31.0,27.0
5.0,16.0
0.9,56.0
54.0,0.2
1.27,6.37
24.8,10.1
17.0,11.0
24.0,16.0
0.5,1.5
5.5,1.0
23.0,26.0
0.6,7.2
11.1,2.8
46.0,30.5
