product,-15K,015-024K,025-034K,035-049K,050-074K,075-099K,100-124K,125-149K,150-174K,175-199K,200-249K,250K+
BANANAS,2,1,1,1,1,1,1,1,1,1,2,1
FLUID MILK WHITE ONLY,3,3,2,2,3,2,3,2,2,3,2,2
SHREDDED CHEESE,1,1,1,1,1,1,1,1,1,1,1,0
YOGURT NOT MULTI-PACKS,4,2,1,1,1,2,1,1,1,1,2,1
MAINSTREAM WHITE BREAD,0,0,1,1,0,0,1,1,0,1,0,0
SOFT DRINKS 12/18&15PK CAN CAR,1,1,1,2,1,2,1,1,0,2,1,0
SFT DRNK 2 LITER BTL CARB INCL,0,1,1,2,1,0,1,1,1,2,1,0
